Headlines,Score,Severity
Thousands who were sheltering at Gaza City’s hospitals flee as Israel-Hamas war closes in,0.1013248,Gravest
"New York City Mayor Eric Adams' phones, iPad seized by FBI in campaign fundraising investigation",0.023553278,Serious
Macron calls on Israel to stop killing Gaza's women and babies,0.28548008,Gravest
"Trump's lawyers have a risky plan to call as many as 3 Trumps back to the stand at his fraud trial, starting with Donald Trump, Jr.",0.19409354,Gravest
"4 people shot on I-59 SB during Friday afternoon shootout, Birmingham police say",0.11078331,Gravest
Brighton Park residents protest migrant tent site,0.09308127,Serious
Son of top Hollywood agent in custody after woman’s torso found in dumpster,0.23343207,Gravest
‘They’re clearing out the homeless people’: San Francisco gets ready for arrival of world leaders,0.07608539,Serious
"Nikki Haley is the winner and Vivek Ramaswamy is the loser of the third debate, according to poll",0.19789438,Gravest
Man accused of assaulting former Sen. Martha McSally during jog in Iowa is arrested,0.20009702,Gravest
